/Users/luna/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-02-22 12:43:24,520 - INFO - [73/278] Genomics reveal Staphylococcus aureus persists during long-term urinar...
2026-02-22 12:43:26,346 - INFO -   ✗ Rejected: No match
2026-02-22 12:43:26,347 - INFO - [74/278] Superelastic Tellurium Thermoelectric Coatings for Advanced Trimodal M...
2026-02-22 12:43:28,152 - INFO -   ✗ Rejected: No match
2026-02-22 12:43:28,152 - INFO - [75/278] Historical deforestation drives strong rainfall decline across the sou...
2026-02-22 12:43:29,906 - INFO -   ✗ Rejected: No match
2026-02-22 12:43:29,906 - INFO - [76/278] Climate and traits drive bark decomposition patterns at global scale...
2026-02-22 12:43:36,917 - INFO -   🤖 Gemini: ❌ NOT RELEVANT (0.20) - While the paper touches on climate and carbon cycl
2026-02-22 12:43:36,918 - INFO -   ✗ Rejected by Gemini LLM
2026-02-22 12:43:36,918 - INFO - [77/278] Weak mantle wedge causes mantle exhumation punctuated with discrete oc...
2026-02-22 12:43:38,686 - INFO -   ✗ Rejected: No match
2026-02-22 12:43:38,686 - INFO - [78/278] Host-guest strategy for full-visible-spectrum piezochromism in halogen...
2026-02-22 12:43:40,691 - INFO -   ✗ Rejected: No match
2026-02-22 12:43:40,691 - INFO - [79/278] Intranasal replicon vaccine establishes mucosal immunity and protects ...
2026-02-22 12:43:47,265 - INFO -   🤖 Gemini: ❌ NOT RELEVANT (1.00) - The paper focuses on vaccine development and immun
2026-02-22 12:43:47,265 - INFO -   ✗ Rejected by Gemini LLM
2026-02-22 12:43:47,265 - INFO - [80/278] Structural basis of outer membrane biogenesis by the TamAB translocase...
2026-02-22 12:43:49,072 - INFO -   ✗ Rejected: No match
2026-02-22 12:43:49,072 - INFO - [81/278] Drone docks for automated forest phenology monitoring...
2026-02-22 12:43:51,028 - INFO -   ✗ Rejected: No match
2026-02-22 12:43:51,029 - INFO - [82/278] Evaluating E-OBS forcing data for large-sample hydrology using model p...
2026-02-22 12:43:57,914 - INFO -   🤖 Gemini: ✅ RELEVANT (0.90) - The paper focuses on using meteorological forcing 
2026-02-22 12:43:57,915 - INFO -   ✓ PART 2: High-impact + topics: hydrology
2026-02-22 12:43:57,915 - INFO - [83/278] Evaluation of high-resolution meteorological data products using flux ...
2026-02-22 12:44:04,541 - INFO -   🤖 Gemini: ✅ RELEVANT (0.90) - The paper focuses on evaluating meteorological dat
2026-02-22 12:44:04,542 - INFO -   ✓ PART 2: High-impact + topics: land surface model
2026-02-22 12:44:04,542 - INFO - [84/278] Global projections of aridity index for mid and long-term future based...
2026-02-22 12:44:06,181 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:06,181 - INFO - [85/278] Limited global effect of climate-Greenland ice sheet coupling in NorES...
2026-02-22 12:44:13,223 - INFO -   🤖 Gemini: ❌ NOT RELEVANT (0.60) - While the paper discusses climate change and ice s
2026-02-22 12:44:13,223 - INFO -   ✗ Rejected by Gemini LLM
2026-02-22 12:44:13,223 - INFO - [86/278] The Memories of Soil Moisture and Soil Temperature Anomalies in Subseq...
2026-02-22 12:44:20,236 - INFO -   🤖 Gemini: ✅ RELEVANT (0.80) - The paper focuses on soil moisture and soil temper
2026-02-22 12:44:20,236 - INFO -   ✓ PART 2: High-impact + topics: flood, land surface model
2026-02-22 12:44:20,236 - INFO - [87/278] Assessment of Offshore Wind and Turbulence Prediction for the Northeas...
2026-02-22 12:44:22,088 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:22,089 - INFO - [88/278] Issue Information...
2026-02-22 12:44:23,747 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:44:23,747 - INFO - [89/278] A new efficiency metric for the spatial evaluation and inter-compariso...
2026-02-22 12:44:25,511 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:25,511 - INFO - [90/278] Organ retrieval and collection of health information for donation: The...
2026-02-22 12:44:27,324 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:27,325 - INFO - [91/278] The Ontology of Adverse Events in 2025...
2026-02-22 12:44:29,426 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:29,427 - INFO - [92/278] Single-cell and spatial transcriptomic profiling of cardiac fibroblast...
2026-02-22 12:44:31,126 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:31,126 - INFO - [93/278] SWFITEM: Solar Wind Fitting for Investigations of Thermodynamics and E...
2026-02-22 12:44:32,866 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:32,867 - INFO - [94/278] Metabarcoding and metagenomic data across aquatic environmental gradie...
2026-02-22 12:44:39,793 - INFO -   🤖 Gemini: ❌ NOT RELEVANT (0.90) - The paper focuses on marine microbial ecology and 
2026-02-22 12:44:39,794 - INFO -   ✗ Rejected by Gemini LLM
2026-02-22 12:44:39,794 - INFO - [95/278] China Public Transport Operation Network Dataset (CPTOND-2025):Nationa...
2026-02-22 12:44:41,505 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:41,505 - INFO - [96/278] Impact of dual-tasking and balance confidence on turns and transitions...
2026-02-22 12:44:43,219 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:43,219 - INFO - [97/278] Exosomes derived from ADSCs suppress the fibrosis process of derma in ...
2026-02-22 12:44:44,980 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:44,980 - INFO - [98/278] Sustainable valorization of marine plastic residues via hydrothermal l...
2026-02-22 12:44:46,847 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:46,848 - INFO - [99/278] Enhancing healthcare workers’ safety and well-being through a comprehe...
2026-02-22 12:44:48,538 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:48,538 - INFO - [100/278] Isorhamnetin inhibits mechanical stress-induced chondrocyte apoptosis ...
2026-02-22 12:44:50,381 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:50,381 - INFO - [101/278] The triglyceride HDL cholesterol ratio predicts sarcopenia risk in an ...
2026-02-22 12:44:52,131 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:52,131 - INFO - [102/278] Novel niclosamide-derived Schiff bases as a dual-targeted anticancer a...
2026-02-22 12:44:53,899 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:53,899 - INFO - [103/278] Retraction Note: BRCA1 inhibits AR–mediated proliferation of breast ca...
2026-02-22 12:44:55,628 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:44:55,628 - INFO - [104/278] First detection of Usutu virus in wild birds in Denmark, 2024...
